ID,OffensiveYardarge,Down,ToGo,TotalToGo,Formation,EPA,ScramblerStrength,BlockerStrength,DefenderStrength
24920,7,3,10,65,0-0,-0.346594,0.04829315624473296,0.045690494697898404,0.030449473043406658
25016,5,1,10,65,3-4,0.088402,0.04686992018389902,0.048033463686989276,0.010267345134761633
25025,14,1,10,62,3-4,0.838922,0.04686992018389902,0.048033463686989276,0.007331279563834454
25034,9,2,8,53,3-4,0.944722,0.04686992018389902,0.048033463686989276,0.010267345134761633
25048,10,3,8,30,0-0,1.547378,0.043873864767647694,0.039822578434078174,0.019705204986459033
25111,5,1,10,46,3-4,0.00551,0.03386908499876763,0.03974394314988115,0.04240103768133652
25124,13,2,10,45,3-4,1.360371,0.03386908499876763,0.03974394314988115,0.04240103768133652
25138,26,2,10,50,3-4,1.883351,0.009871877969661443,0.036718727402598135,0.009464211832850643
25259,1,3,5,39,0-0,-0.863581,0.02535778839844347,0.032744063197543756,0.02607160084069942
25383,19,2,10,38,0-0,1.839877,0.015147672864145013,0.03651305666637595,0.01642656805792748
25450,3,1,10,59,3-4,-0.113666,0.009620583780923406,0.034712080305243136,0.028189512403790383
25498,2,2,9,21,3-4,-0.387769,0.009620583780923406,0.034712080305243136,0.020009775212757125
25563,5,4,13,68,0-0,-2.302424,0.009620583780923406,0.034712080305243136,0.023183780035307334
25606,18,3,13,57,4-3,3.078789,0.03386908499876763,0.03974394314988115,0.030574839432188215
25679,1,3,1,66,3-4,0.527357,0.033768230363296674,0.03717675303231835,0.021675576936926053
25721,3,1,10,75,3-4,-0.233178,0.009871877969661443,0.036718727402598135,0.02696406919865983
25808,4,2,3,76,3-4,0.247974,0.007066130927046504,0.042331760004245836,0.01963609858642321
25809,7,1,10,72,3-4,0.526801,0.007066130927046504,0.042331760004245836,0.01963609858642321
25830,15,3,4,69,3-4,1.741349,0.007066130927046504,0.042331760004245836,0.01963609858642321
25834,39,2,27,48,3-4,4.263401,0.007066130927046504,0.042331760004245836,0.016495532680184298
25863,1,2,6,71,3-4,-0.673955,0.007066130927046504,0.042331760004245836,0.015753079252805197
25891,5,1,10,41,3-4,-0.039984,0.046262635908784364,0.05799156209254766,0.008012399359117834
25894,3,4,3,34,4-3,1.679453,0.046262635908784364,0.05799156209254766,0.016043676375599503
25978,12,2,2,36,3-4,0.709474,0.0656582180798903,0.040371172852227945,0.029692690477932673
26013,4,1,10,75,4-3,-0.063134,0.0047349631703156175,0.02971657026358872,0.018714475961417988
26033,14,3,4,45,3-4,1.582019,0.0656582180798903,0.040371172852227945,0.03751174740951478
26145,1,3,7,78,4-3,-1.068289,0.03191924748466482,0.034528580581803595,0.02154543074368727
26172,11,1,10,50,0-0,-4.29666,0.04829315624473296,0.045690494697898404,0.027965906438390465
26319,1,2,7,72,3-4,-0.60653,0.009620583780923406,0.034712080305243136,0.014566075546039996
26435,1,3,13,78,0-0,-0.528878,0.02730564513909665,0.03466522418023544,0.004108825915529171
26454,8,2,6,57,4-3,0.749727,0.02730564513909665,0.03466522418023544,0.015889066711764096
26743,5,2,4,58,4-3,0.327206,0.02520849962944511,0.029556172413161892,0.016655090625951323
26886,7,2,9,68,4-3,0.140688,0.04686992018389902,0.048033463686989276,0.025403309961276065
26987,3,1,10,68,4-3,-0.212041,0.020395248825219717,0.05300431051629475,0.021544423167880276
27001,9,3,6,24,0-0,1.387234,0.020395248825219717,0.05300431051629475,0.027554824506999524
27028,17,3,7,45,3-4,2.229459,0.030967027012518366,0.03549909671984428,0.023181653402339367
27082,1,1,10,31,3-4,-0.371471,0.011854745019880705,0.03659961964607415,0.04167740949730993
27180,1,4,15,45,0-0,-1.910174,0.035524105404837164,0.036317746271247967,0.02449953095747584
27242,7,1,10,46,4-3,0.255191,0.0190038838273121,0.04132343770290404,0.033826642651059745
27299,5,2,5,67,3-4,0.469463,0.0190038838273121,0.04132343770290404,0.03685166949993031
27336,18,2,4,67,0-0,1.118907,0.0190038838273121,0.04132343770290404,0.04402301953182843
27408,9,1,10,61,3-4,0.614686,0.034504702145227065,0.03653071949347159,0.028848127351373872
27414,10,3,15,42,0-0,0.673764,0.034504702145227065,0.03653071949347159,0.02576434553294834
27423,15,3,1,49,3-4,1.073463,0.005826642007296648,0.031765010644784576,0.0056867159066677124
27591,13,1,10,38,4-3,0.722633,0.04829315624473296,0.045690494697898404,0.01935025700180697
27593,9,2,9,24,4-3,0.928192,0.04829315624473296,0.045690494697898404,0.03240166386128494
27649,14,2,23,55,3-4,0.488676,0.013113629576540367,0.029233425629286713,0.025672148589269136
27662,6,2,1,66,4-3,-0.116557,0.04829315624473296,0.045690494697898404,0.03240166386128494
27679,9,1,10,56,3-4,0.646757,0.013113629576540367,0.029233425629286713,0.004347335782979142
27682,2,2,14,42,3-4,-0.755356,0.013113629576540367,0.029233425629286713,0.02154543074368727
27683,6,3,12,40,3-4,-0.035628,0.013113629576540367,0.029233425629286713,0.015046477879419335
27711,5,3,10,49,0-0,-0.66156,0.0190038838273121,0.04132343770290404,0.0228297195508331
27896,14,1,10,26,3-4,0.725073,0.04642580956145555,0.03904400711263111,0.04063042999496165
27926,7,1,10,64,4-3,0.508478,0.007066130927046504,0.042331760004245836,0.03689957105942675
27937,10,3,6,43,4-3,1.574258,0.04024106073619201,0.03986718748264072,0.018294741085933673
27969,15,1,10,66,3-4,0.836804,0.04024106073619201,0.03986718748264072,0.009471213516510958
27984,11,3,1,44,4-3,0.701691,0.04024106073619201,0.03986718748264072,0.016143228815635645
28266,5,4,4,69,0-0,2.510022,0.03386908499876763,0.03974394314988115,0.024710633531975026
28279,9,1,10,49,0-0,0.459131,0.03386908499876763,0.03974394314988115,0.024710633531975026
28311,10,1,10,49,3-4,0.475212,0.034504702145227065,0.03653071949347159,0.04205667890860322
28327,14,1,10,33,3-4,0.84899,0.034504702145227065,0.03653071949347159,0.02350380137692399
28357,2,1,10,58,3-4,-0.198691,0.034504702145227065,0.03653071949347159,0.025394626676523917
28405,8,3,10,35,0-0,-0.100082,0.034504702145227065,0.03653071949347159,0.03022030421617997
28426,5,3,3,41,0-0,0.938128,0.03796216075595333,0.03446802007773319,0.02332520331508784
28552,4,3,3,68,0-0,1.059012,0.0047349631703156175,0.02971657026358872,0.021200985087324514
28601,12,2,11,53,0-0,1.181764,0.02730564513909665,0.03466522418023544,0.022565331308222237
28789,13,3,5,70,3-4,1.743729,0.03191924748466482,0.034528580581803595,0.015683163408962912
28796,10,2,9,31,3-4,1.089791,0.03191924748466482,0.034528580581803595,0.020178776013592397
28848,1,1,10,34,3-4,-0.436003,0.046262635908784364,0.05799156209254766,0.032476949158540824
28920,9,2,10,38,0-0,0.53445,0.02954692254945959,0.037711463390559655,0.026296506324376207
28943,6,1,10,31,3-4,0.268146,0.023141448544722432,0.04219553610623163,0.023126071944030532
